Timestamp,ID,Mode,Cycle,Overall, I was satisfied with how I could handle objects.,I was in full control of the objects.,It felt intuitive to handle the objects.,The objects behaved realistically.,The objects behaved as I expected.,It was comfortable to handle the objects.,I found handling the objects unnecessarily complex.,I thought this way of handling objects was easy.,I would imagine that most people would learn to handle objects this way very quickly.,I found handling the objects very cumbersome.,Did you feel dizzy or sick?,Mental demand,Physical demand,Temporal demand,Performance,Effort,Frustration level
2018/06/25 11:24:26 AM GMT+2,01,1,1,10,10,10,10,9,10,1,10,10,1,1,1,7,1,10,4,1
2018/06/25 11:34:11 AM GMT+2,01,2,2,7,7,8,8,7,9,3,7,6,3,1,4,7,1,8,3,1
2018/06/25 11:41:58 AM GMT+2,01,4,3,10,6,6,3,4,2,2,6,9,2,1,1,6,1,9,3,1
2018/06/25 11:50:25 AM GMT+2,01,3,4,7,8,6,6,7,7,4,6,6,3,1,3,6,1,8,3,1
2018/06/25 12:20:15 PM GMT+2,02,2,1,9,7,7,4,8,8,2,8,9,2,2,3,4,6,8,5,1
2018/06/25 12:28:58 PM GMT+2,02,1,2,6,5,5,2,6,3,7,5,8,5,2,7,7,7,6,7,6
2018/06/25 12:37:26 PM GMT+2,02,3,3,6,3,3,5,6,2,9,2,5,8,3,7,6,8,3,8,8
2018/06/25 12:45:38 PM GMT+2,02,4,4,7,5,7,2,5,5,5,5,7,6,2,4,4,7,4,7,7
2018/06/25 3:23:20 PM GMT+2,03,3,1,9,8,10,7,7,9,1,10,10,2,2,2,8,10,8,5,3
2018/06/25 3:30:51 PM GMT+2,03,4,2,6,6,9,10,8,7,6,5,7,7,2,3,9,9,7,7,8
2018/06/25 3:37:21 PM GMT+2,03,1,3,7,4,7,4,5,7,2,8,9,3,2,1,6,8,7,5,4
2018/06/25 3:43:37 PM GMT+2,03,2,4,9,9,10,10,9,7,3,7,7,2,2,2,7,8,7,5,3
2018/06/25 5:36:27 PM GMT+2,04,4,1,9,10,7,10,10,10,1,9,10,1,2,3,6,4,9,6,1
2018/06/25 5:46:12 PM GMT+2,04,3,2,4,8,4,5,5,4,7,5,4,7,1,3,4,4,7,6,7
2018/06/25 5:54:15 PM GMT+2,04,2,3,10,10,8,9,10,10,4,8,9,3,1,6,6,4,9,7,2
2018/06/25 6:01:48 PM GMT+2,04,1,4,7,10,3,5,4,4,4,6,10,6,1,2,6,7,9,6,3
2018/06/26 10:17:17 AM GMT+2,05,1,1,9,10,9,8,10,5,2,10,10,1,1,2,7,4,9,2,1
2018/06/26 10:24:44 AM GMT+2,05,2,2,7,5,5,6,5,7,2,8,8,4,1,2,3,3,6,3,3
2018/06/26 10:30:55 AM GMT+2,05,4,3,9,8,7,7,8,8,2,9,9,2,1,2,2,2,7,2,1
2018/06/26 10:37:33 AM GMT+2,05,3,4,7,4,6,8,8,7,2,7,6,2,1,4,2,1,8,4,2
2018/06/26 11:24:20 AM GMT+2,06,2,1,9,5,8,7,7,10,1,9,9,1,1,2,5,1,10,2,2
2018/06/26 11:32:09 AM GMT+2,06,1,2,8,8,8,8,10,9,3,7,10,4,1,1,4,1,10,3,1
2018/06/26 11:39:42 AM GMT+2,06,3,3,5,7,6,8,8,6,8,3,2,6,1,3,4,1,8,2,2
2018/06/26 11:46:54 AM GMT+2,06,4,4,9,9,9,8,9,9,2,9,9,2,1,1,4,1,10,1,1
2018/06/26 12:34:04 PM GMT+2,07,3,1,9,10,10,10,10,10,1,10,10,1,1,2,3,1,10,1,1
2018/06/26 12:42:44 PM GMT+2,07,4,2,7,7,10,10,10,10,1,10,10,1,1,3,7,2,9,4,1
2018/06/26 12:50:45 PM GMT+2,07,1,3,10,10,10,10,10,10,1,10,10,1,1,1,3,1,9,3,2
2018/06/26 12:59:50 PM GMT+2,07,2,4,10,10,10,10,10,10,1,10,10,1,1,3,2,1,9,2,1
2018/06/26 2:43:46 PM GMT+2,08,4,1,10,9,10,8,10,9,3,8,10,2,1,2,5,3,8,5,1
2018/06/26 2:52:24 PM GMT+2,08,3,2,10,10,10,8,9,10,2,8,10,2,1,3,4,2,9,5,2
2018/06/26 3:00:46 PM GMT+2,08,2,3,9,8,10,9,9,8,3,8,9,2,1,3,4,2,8,4,2
2018/06/26 3:07:43 PM GMT+2,08,1,4,6,6,7,8,9,5,6,3,7,5,1,5,4,2,7,5,4
2018/06/27 10:11:42 AM GMT+2,09,1,1,10,10,10,8,9,10,1,10,8,1,1,1,7,5,9,7,2
2018/06/27 10:18:02 AM GMT+2,09,2,2,10,10,6,3,6,9,2,8,7,1,1,4,6,2,10,6,1
2018/06/27 10:24:20 AM GMT+2,09,4,3,6,5,4,3,6,7,6,7,4,6,1,8,7,5,9,8,6
2018/06/27 10:30:05 AM GMT+2,09,3,4,9,9,6,4,7,9,2,8,4,2,1,7,7,4,8,6,2
2018/06/27 11:20:30 AM GMT+2,10,2,1,8,7,9,6,7,7,3,7,8,2,2,4,5,2,8,6,2
2018/06/27 11:28:48 AM GMT+2,10,1,2,7,8,8,7,8,7,1,7,8,1,2,1,4,2,8,3,2
2018/06/27 11:36:34 AM GMT+2,10,3,3,7,8,7,8,8,8,4,7,7,3,1,2,3,1,7,4,2
2018/06/27 11:44:20 AM GMT+2,10,4,4,7,7,8,9,8,7,1,7,8,2,1,2,3,2,8,3,1
2018/07/03 12:33:02 PM GMT+2,11,3,1,9,9,9,8,10,9,1,10,8,2,1,1,4,3,9,5,1
2018/07/03 12:40:59 PM GMT+2,11,4,2,7,6,8,7,9,8,4,4,5,8,1,6,4,2,10,7,3
2018/07/03 12:47:02 PM GMT+2,11,1,3,9,9,9,8,9,7,3,9,9,3,1,3,7,1,8,5,3
2018/07/03 12:53:15 PM GMT+2,11,2,4,9,6,7,8,7,8,5,6,6,6,1,5,3,1,9,2,1
2018/06/27 4:28:21 PM GMT+2,12,4,1,9,10,9,4,6,9,1,10,8,1,1,3,6,6,7,7,4
2018/06/27 4:38:34 PM GMT+2,12,3,2,9,8,10,2,4,7,3,8,8,3,1,2,6,5,8,6,4
2018/06/27 4:48:35 PM GMT+2,12,2,3,8,8,7,3,6,6,3,8,8,5,1,4,7,5,9,4,2
2018/06/27 4:56:43 PM GMT+2,12,1,4,6,8,3,2,5,4,8,2,7,10,1,6,7,5,8,4,4
2018/06/27 5:31:08 PM GMT+2,13,1,1,9,9,8,6,8,9,1,10,9,1,1,1,8,3,9,3,3
2018/06/27 5:45:28 PM GMT+2,13,2,2,7,9,8,8,8,8,3,9,8,3,1,3,9,4,8,4,4
2018/06/27 6:02:25 PM GMT+2,13,4,3,9,8,8,8,9,9,2,10,9,2,1,3,8,3,8,3,1
2018/06/27 6:15:21 PM GMT+2,13,3,4,9,9,9,8,9,9,2,8,8,2,1,4,9,4,8,5,2
2018/06/27 6:45:47 PM GMT+2,14,2,1,9,9,7,6,8,9,1,9,10,2,2,4,8,3,7,4,2
2018/06/27 6:55:56 PM GMT+2,14,1,2,5,3,3,8,8,3,8,4,9,9,2,4,9,4,5,7,7
2018/06/27 7:07:43 PM GMT+2,14,3,3,10,10,10,10,10,8,5,7,8,7,2,7,8,4,7,7,3
2018/06/27 7:17:02 PM GMT+2,14,4,4,6,3,3,8,8,2,9,5,5,10,2,7,8,3,4,8,7
2018/06/28 11:30:47 AM GMT+2,15,3,1,8,9,8,9,10,5,8,10,10,2,1,4,9,8,10,3,3
2018/06/28 11:38:19 AM GMT+2,15,4,2,7,6,5,4,4,8,9,6,9,9,1,5,9,6,8,9,7
2018/06/28 11:44:14 AM GMT+2,15,1,3,10,10,9,8,9,9,2,10,10,7,1,3,9,4,10,7,3
2018/06/28 11:50:47 AM GMT+2,15,2,4,9,7,8,8,9,8,9,10,9,8,1,6,9,6,9,9,2
2018/06/28 12:27:31 PM GMT+2,16,4,1,10,9,9,10,10,10,2,9,10,2,1,6,8,2,9,3,1
2018/06/28 12:37:05 PM GMT+2,16,3,2,8,8,9,9,10,10,2,9,9,2,1,2,5,2,9,2,3
2018/06/28 12:45:23 PM GMT+2,16,2,3,8,7,8,8,8,8,2,9,9,2,1,2,3,2,9,2,2
2018/06/28 12:53:42 PM GMT+2,16,1,4,7,7,7,6,6,7,7,8,8,8,1,3,3,2,7,4,3
2018/06/28 2:19:12 PM GMT+2,17,1,1,9,9,10,9,9,10,1,10,9,2,1,2,3,3,9,6,2
2018/06/28 2:26:54 PM GMT+2,17,2,2,10,10,9,8,10,10,1,10,9,1,1,2,4,3,9,4,1
2018/06/28 2:34:19 PM GMT+2,17,4,3,10,10,10,8,9,10,1,10,10,1,1,2,3,3,9,3,2
2018/06/28 2:40:49 PM GMT+2,17,3,4,10,10,10,8,9,10,1,10,10,1,1,2,2,3,9,2,1
2018/06/28 4:53:59 PM GMT+2,18,2,1,10,10,10,8,10,10,1,8,9,2,2,2,4,7,8,7,2
2018/06/28 5:02:51 PM GMT+2,18,1,2,8,8,7,3,9,7,2,8,8,2,2,2,4,5,8,6,2
2018/06/28 5:12:03 PM GMT+2,18,3,3,6,7,9,6,5,8,2,8,8,3,2,3,3,4,7,5,3
2018/06/28 5:20:29 PM GMT+2,18,4,4,9,9,9,9,9,9,2,8,9,2,1,2,3,3,8,4,2
2018/06/29 10:22:09 AM GMT+2,19,3,1,8,9,10,9,8,8,3,8,9,3,1,6,5,4,8,4,4
2018/06/29 10:29:37 AM GMT+2,19,4,2,7,7,5,6,5,5,6,5,7,5,1,4,5,4,7,4,4
2018/06/29 10:36:20 AM GMT+2,19,1,3,7,8,6,7,8,8,3,7,8,3,1,3,4,3,9,3,2
2018/06/29 10:43:46 AM GMT+2,19,2,4,9,9,9,8,8,9,4,7,8,5,1,5,4,4,9,3,3
2018/06/29 11:17:42 AM GMT+2,20,4,1,10,10,10,8,9,10,1,10,10,1,1,2,6,4,9,3,1
2018/06/29 11:25:40 AM GMT+2,20,3,2,10,10,9,10,9,9,1,9,10,1,1,4,6,2,10,2,1
2018/06/29 11:32:13 AM GMT+2,20,2,3,10,10,10,10,9,10,1,10,10,1,1,2,5,2,10,1,1
2018/06/29 11:37:29 AM GMT+2,20,1,4,8,9,8,10,10,7,4,8,9,3,1,3,4,2,9,3,2
2018/06/29 1:35:57 PM GMT+2,21,1,1,10,10,1,10,10,10,1,10,10,1,1,1,8,3,10,2,1
2018/06/29 1:44:20 PM GMT+2,21,2,2,10,8,10,8,8,9,1,10,10,1,1,1,7,6,10,7,1
2018/06/29 1:52:38 PM GMT+2,21,4,3,8,8,8,9,9,9,2,9,10,2,1,1,7,7,9,7,1
2018/06/29 2:00:03 PM GMT+2,21,3,4,10,10,10,10,10,10,1,10,10,1,1,1,7,7,10,2,1
2018/06/29 4:16:48 PM GMT+2,22,2,1,8,9,7,6,6,7,3,8,9,3,1,3,4,6,9,2,2
2018/06/29 4:25:53 PM GMT+2,22,1,2,8,6,6,5,5,6,3,6,8,5,1,5,3,4,6,6,6
2018/06/29 4:36:47 PM GMT+2,22,3,3,5,6,5,6,5,5,5,6,6,6,2,5,3,4,8,3,4
2018/06/29 4:45:03 PM GMT+2,22,4,4,4,4,3,2,5,4,6,5,6,5,2,5,3,4,7,5,5
2018/07/02 4:19:30 PM GMT+2,23,3,1,9,8,7,5,9,10,1,9,9,1,1,3,7,4,8,5,1
2018/07/02 4:27:35 PM GMT+2,23,4,2,8,8,7,6,10,10,4,8,8,3,1,6,3,3,9,4,1
2018/07/02 4:34:27 PM GMT+2,23,1,3,3,6,1,6,9,3,8,3,6,6,1,6,6,3,7,7,2
2018/07/02 4:41:24 PM GMT+2,23,2,4,10,10,10,8,10,10,1,8,10,1,1,7,3,3,6,4,1
2018/07/03 11:49:55 AM GMT+2,24,4,1,10,10,10,10,10,10,1,10,10,1,1,1,4,3,10,2,1
2018/07/03 11:58:02 AM GMT+2,24,3,2,10,10,10,7,8,10,1,10,10,1,1,1,3,3,9,2,1
2018/07/03 12:04:32 PM GMT+2,24,2,3,10,10,10,10,10,10,1,10,10,1,1,1,2,3,10,3,1
2018/07/03 12:11:33 PM GMT+2,24,1,4,10,10,10,9,9,10,1,10,10,1,2,1,2,3,10,1,1
2018/07/03 2:13:05 PM GMT+2,25,1,1,9,10,9,5,9,10,1,10,9,2,1,6,7,2,7,2,1
2018/07/03 2:19:50 PM GMT+2,25,2,2,7,8,7,6,5,6,3,8,7,7,1,3,4,1,7,2,1
2018/07/03 2:27:03 PM GMT+2,25,4,3,5,5,5,4,6,3,3,5,4,7,1,4,6,2,5,3,1
2018/07/03 2:33:54 PM GMT+2,25,3,4,9,10,8,7,9,9,2,9,9,2,1,2,4,1,8,2,1
2018/07/04 10:34:21 AM GMT+2,26,2,1,9,8,8,5,7,9,5,9,4,3,1,2,3,1,8,3,2
2018/07/04 10:42:22 AM GMT+2,26,1,2,7,10,8,4,3,9,3,8,4,9,1,3,5,2,9,3,1
2018/07/04 10:50:04 AM GMT+2,26,3,3,10,10,8,9,8,9,4,9,8,2,1,2,3,4,10,4,1
2018/07/04 10:58:05 AM GMT+2,26,4,4,7,6,7,5,7,6,7,4,2,9,1,4,3,7,7,7,3
2018/07/04 11:22:57 AM GMT+2,27,3,1,9,8,7,6,8,6,2,8,8,5,1,4,7,7,7,3,2
2018/07/04 11:30:49 AM GMT+2,27,4,2,8,7,7,8,7,7,3,8,7,4,1,3,3,4,4,3,3
2018/07/04 11:37:48 AM GMT+2,27,1,3,6,4,7,3,4,5,3,7,5,5,1,3,4,5,4,4,6
2018/07/04 11:46:17 AM GMT+2,27,2,4,8,7,7,5,4,5,3,7,5,5,1,3,3,4,4,4,3
2018/07/04 3:13:26 PM GMT+2,28,4,1,9,10,9,6,7,5,2,8,8,3,1,3,6,3,9,6,3
2018/07/04 3:21:05 PM GMT+2,28,3,2,6,5,4,8,4,3,7,3,4,7,1,3,6,2,9,3,4
2018/07/04 3:29:46 PM GMT+2,28,2,3,7,8,8,8,8,7,7,8,8,7,1,3,5,3,9,3,3
2018/07/04 3:37:26 PM GMT+2,28,1,4,7,9,8,9,9,5,8,4,8,6,2,3,5,3,9,3,3
2018/07/04 12:11:37 PM GMT+2,29,1,1,9,8,10,9,8,10,2,10,10,3,1,3,5,2,10,2,2
2018/07/04 12:18:14 PM GMT+2,29,2,2,7,5,8,7,4,4,4,6,7,6,1,4,6,4,7,5,5
2018/07/04 12:25:17 PM GMT+2,29,4,3,7,4,7,8,9,5,4,4,7,8,1,6,7,3,5,4,5
2018/07/04 12:31:38 PM GMT+2,29,3,4,9,10,10,9,10,9,2,9,10,2,2,3,6,2,4,3,3
2018/07/04 4:20:54 PM GMT+2,30,2,1,9,9,8,8,8,9,1,9,7,2,1,7,7,3,8,4,1
2018/07/04 4:29:28 PM GMT+2,30,1,2,6,5,5,6,7,4,5,3,5,6,1,3,4,1,8,2,3
2018/07/04 4:37:32 PM GMT+2,30,3,3,7,6,10,9,9,5,3,7,6,3,1,8,8,2,6,4,4
2018/07/04 4:44:47 PM GMT+2,30,4,4,9,8,8,8,9,8,2,8,7,2,1,6,4,2,8,2,2
